# kt ab 0.4_0.5 0.5_0.6 0.6_0.7 0.7_0.8 0.8_0.9 0.9_1.0 1.0_1.1 1.1_1.2 1.2_1.3 1.3_1.5 1.5_1.8 1.8_2.2 2.2_2.8 2.8_3.5 3.5_4.5 4.5_6.2 6.2_7.0 7.0_10.0
0.243567  0.236842  9.1057 10.2048 9.9975 8.4632 5.3082 2.3597 1.3483 0.7189 0.3286 0.6299 0.2238 0.0646 0.0067 0.0004 0.0000 0.0000 0.0000 0.0000 
0.243567  0.315789  10.9418 12.8344 12.8194 10.8689 6.8149 3.0018 1.6693 0.8631 0.3984 0.7888 0.2729 0.0812 0.0083 0.0006 0.0000 0.0000 0.0000 0.0000 
0.243567  0.394737  12.7779 15.4639 15.6414 13.2746 8.3216 3.6439 1.9903 1.0072 0.4682 0.9477 0.3220 0.0977 0.0098 0.0007 0.0000 0.0000 0.0000 0.0000 
0.243567  0.473684  14.6140 18.0935 18.4632 15.6803 9.8283 4.2860 2.3112 1.1513 0.5380 1.1065 0.3712 0.1143 0.0114 0.0008 0.0000 0.0000 0.0000 0.0000 
0.243567  0.552632  16.4501 20.7230 21.2852 18.0860 11.3351 4.9282 2.6322 1.2954 0.6078 1.2654 0.4203 0.1308 0.0130 0.0009 0.0000 0.0000 0.0000 0.0000 
0.243567  0.631579  18.2862 23.3526 24.1070 20.4917 12.8418 5.5703 2.9532 1.4395 0.6776 1.4243 0.4694 0.1474 0.0145 0.0010 0.0000 0.0000 0.0000 0.0000 
0.243567  0.710526  20.1223 25.9821 26.9289 22.8973 14.3485 6.2124 3.2742 1.5836 0.7474 1.5831 0.5186 0.1639 0.0161 0.0011 0.0000 0.0000 0.0000 0.0000 
0.243567  0.789474  21.9584 28.6117 29.7508 25.3030 15.8552 6.8546 3.5951 1.7277 0.8172 1.7420 0.5677 0.1804 0.0176 0.0012 0.0001 0.0000 0.0000 0.0000 
0.243567  0.868421  23.7945 31.2412 32.5727 27.7087 17.3619 7.4967 3.9161 1.8718 0.8870 1.9009 0.6168 0.1970 0.0192 0.0013 0.0001 0.0000 0.0000 0.0000 
0.243567  0.947368  25.6306 33.8708 35.3946 30.1144 18.8686 8.1388 4.2371 2.0159 0.9568 2.0597 0.6660 0.2135 0.0207 0.0014 0.0001 0.0000 0.0000 0.0000 
0.243567  1.02632  27.4668 36.5005 38.2167 32.5202 20.3754 8.7810 4.5581 2.1600 1.0266 2.2186 0.7151 0.2301 0.0223 0.0015 0.0001 0.0000 0.0000 0.0000 
0.243567  1.10526  29.3027 39.1298 41.0383 34.9257 21.8820 9.4230 4.8790 2.3041 1.0964 2.3775 0.7642 0.2466 0.0239 0.0016 0.0001 0.0000 0.0000 0.0000 
0.243567  1.18421  31.1389 41.7594 43.8603 37.3315 23.3888 10.0652 5.2000 2.4482 1.1662 2.5363 0.8134 0.2631 0.0254 0.0017 0.0001 0.0000 0.0000 0.0000 
0.243567  1.26316  32.9750 44.3890 46.6823 39.7372 24.8955 10.7073 5.5210 2.5923 1.2360 2.6952 0.8625 0.2797 0.0270 0.0018 0.0001 0.0000 0.0000 0.0000 
0.243567  1.34211  34.8112 47.0187 49.5043 42.1430 26.4023 11.3495 5.8420 2.7365 1.3058 2.8541 0.9116 0.2962 0.0285 0.0019 0.0001 0.0000 0.0000 0.0000 
0.243567  1.42105  36.6471 49.6480 52.3259 44.5485 27.9089 11.9915 6.1629 2.8806 1.3756 3.0129 0.9608 0.3128 0.0301 0.0020 0.0001 0.0000 0.0000 0.0000 
0.243567  1.5  38.4833 52.2776 55.1479 46.9542 29.4156 12.6337 6.4839 3.0247 1.4454 3.1718 1.0099 0.3293 0.0316 0.0021 0.0001 0.0000 0.0000 0.0000 
0.268789  0  4.1050 2.7569 1.9041 1.6029 1.0420 0.5939 0.5450 0.4176 0.1841 0.2473 0.1350 0.0302 0.0049 0.0004 0.0000 0.0000 0.0000 0.0000 
0.268789  0.0789474  5.8145 5.0728 4.8340 4.7388 3.0077 1.4074 1.0161 0.6184 0.2812 0.4777 0.2091 0.0587 0.0082 0.0007 0.0000 0.0000 0.0000 0.0000 
0.268789  0.157895  7.5241 7.3887 7.7640 7.8748 4.9735 2.2208 1.4873 0.8192 0.3784 0.7082 0.2832 0.0871 0.0115 0.0010 0.0001 0.0000 0.0000 0.0000 
0.268789  0.236842  9.2336 9.7045 10.6939 11.0107 6.9392 3.0342 1.9585 1.0201 0.4755 0.9386 0.3574 0.1156 0.0147 0.0012 0.0001 0.0000 0.0000 0.0000 
0.268789  0.315789  10.9432 12.0204 13.6239 14.1466 8.9049 3.8477 2.4296 1.2209 0.5726 1.1691 0.4315 0.1440 0.0180 0.0015 0.0001 0.0000 0.0000 0.0000 
